1123
0 72 144
319 1124 848
320 1089 865
321 331 922
322 1061 89
323 695 5
324 476 730
325 952 140
326 998 844
327 1129 287
328 330 1105
329 925 20
330 785 1094
331 178 96
332 961 636
333 93 413
334 587 1042
335 667 154
336 963 616
337 1106 284
338 404 602
339 1184 721
340 974 790
341 558 507
342 1127 285
343 970 832
344 827 819
345 319 293
346 61 836
347 799 564
348 1101 941
349 280 790
350 1111 278
351 235 693
352 682 15
353 501 280
354 277 1118
355 859 544
356 1094 935
357 950 642
358 254 632
359 1013 1166
360 642 566
361 928 0
362 194 17
363 694 1042
364 55 1147
365 804 183
366 903 1014
367 75 130
368 178 284
369 491 384
370 264 981
371 677 181
372 969 645
373 1014 1058
374 97 73
375 138 584
376 977 230
377 1015 1054
378 301 111
379 514 380
380 451 476
381 612 935
382 858 462
383 589 801
384 643 822
385 1090 941
386 233 761
387 1115 860
388 970 969
389 411 397
390 493 941
391 1005 1162
392 847 348
393 784 568
394 956 24
395 42 868
396 982 237
397 585 1043
398 982 649
399 405 617
400 998 251
401 10 954
402 624 597
403 201 72
404 762 352
405 176 161
406 132 756
407 322 876
408 142 951
409 1191 466
410 104 942
411 52 171
412 88 48
413 340 925
414 964 130
415 1113 950
416 248 692
417 586 1057
418 290 555
419 482 34
420 977 835
421 782 584
422 31 738
423 878 1007
424 1122 639
425 1168 1084
426 1040 92
427 303 1070
428 222 534
429 112 1106
430 957 119
431 1128 1123
432 1122 254
433 107 953
434 306 320
435 386 273
436 856 556
437 485 932
438 411 260
439 606 919
440 1001 964
441 479 124
442 825 1163
443 89 57
444 435 1077
445 154 1035
446 710 43
447 818 481
448 1144 718
449 1031 1051
450 457 464
451 448 1073
452 650 812
453 508 397
454 762 334
455 1175 1021
456 980 953
457 992 247
458 561 1151
459 610 262
460 312 875
461 94 1194
462 949 221
463 97 407
464 258 987
465 160 262
466 437 881
467 1009 845
468 1021 1172
469 233 792
470 1198 346
471 710 1
472 863 560
473 78 71
474 783 805
475 176 25
476 616 763
477 7 265
478 596 793
479 307 1112
480 260 985
481 1022 1066
482 24 583
483 807 33
484 431 877
485 1136 1119
486 75 132
487 563 1143
488 127 296
489 239 1194
490 805 449
491 985 617
492 770 338
493 373 408
494 715 1021
495 772 803
496 1167 743
497 409 430
498 481 199
499 1018 1063
500 933 150
501 687 469
502 137 582
503 571 388
504 18 946
505 449 458
506 227 27
507 1194 755
508 179 271
509 293 1067
510 608 918
511 995 257
512 488 934
513 686 47
514 1114 874
515 790 1185
516 806 1168
517 347 929
518 878 913
519 1023 1154
520 879 911
521 1175 717
522 162 157
523 123 313
524 796 1135
525 239 620
526 498 1038
527 293 643
528 164 177
529 25 837
530 244 1168
531 957 7
532 889 920
533 400 431
534 957 25
535 431 1063
536 600 262
537 1090 940
538 649 165
539 489 292
540 228 693
541 407 587
542 295 876
543 484 718
544 700 459
545 688 158
546 727 26
547 520 263
548 394 262
549 939 17
550 1046 472
551 135 1160
552 177 172
553 1050 808
554 89 1141
555 425 282
556 1000 431
557 853 356
558 399 21
559 1145 184
560 709 708
561 548 1146
562 977 112
563 584 1042
564 816 33
565 805 1051
566 239 557
567 721 675
568 110 759
569 722 696
570 1192 467
571 274 1189
572 977 630
573 471 679
574 829 207
575 860 557
576 951 658
577 861 367
578 319 909
579 124 934
580 80 1169
581 1140 135
582 335 278
583 857 553
584 440 20
585 75 165
586 305 86
587 94 421
588 1194 1078
589 1121 953
590 471 1038
591 1123 257
592 159 435
593 484 1066
594 1105 938
595 1184 504
596 211 495
597 844 550
598 303 811
599 679 1179
600 791 351
601 146 757
602 1131 1090
603 844 355
604 1 253
605 708 455
606 847 446
607 74 1192
608 933 1
609 456 1026
610 575 400
611 895 1004
612 230 465
613 812 1090
614 998 987
615 1113 1122
616 325 914
617 714 1049
618 421 869
619 706 481
620 563 390
621 692 1033
622 900 902
623 691 704
624 1006 1177
625 237 1004
626 447 681
627 298 102
628 645 142
629 992 647
630 131 952
631 938 88
632 818 209
633 240 641
634 680 1186
635 869 1025
636 1009 469
637 492 670
638 803 825
639 606 933
640 865 367
641 1149 714
642 1121 1085
643 823 460
644 308 119
645 214 814
646 892 1010
647 81 75
648 469 214
649 31 858
650 762 580
651 1103 945
652 733 691
653 104 1145
654 640 763
655 924 98
656 30 854
657 1102 939
658 83 68
659 566 385
660 1092 631
661 138 745
662 70 123
663 488 946
664 1040 412
665 1182 1027
666 559 1136
667 824 1094
668 264 461
669 487 1045
670 1116 1123
671 143 441
672 404 611
673 1192 389
674 5 589
675 581 819
676 695 20
677 490 297
678 1108 1108
679 270 662
680 221 752
681 298 622
682 1124 870
683 1121 1087
684 1047 75
685 1044 1153
686 711 712
687 167 1057
688 230 83
689 106 1181
690 439 1045
691 681 139
692 820 464
693 144 709
694 154 425
695 463 138
696 226 220
697 408 609
698 626 785
699 455 25
700 493 259
701 1108 261
702 83 400
703 489 932
704 698 475
705 963 832
706 821 1075
707 650 568
708 178 1034
709 804 15
710 812 1069
711 149 1127
712 1177 493
713 789 1169
714 642 575
715 96 704
716 570 485
717 1011 1160
718 119 305
719 402 278
720 239 213
721 798 1096
722 825 211
723 555 508
724 97 76
725 519 139
726 966 623
727 45 818
728 250 508
729 702 1038
730 273 808
731 1133 258
732 809 34
733 38 629
734 863 1021
735 282 456
736 420 861
737 516 294
738 860 351
739 558 1145
740 237 987
741 1130 1085
742 502 198
743 151 432
744 51 857
745 79 136
746 323 320
747 253 1186
748 1003 854
749 105 709
750 591 927
751 215 533
752 1103 929
753 1137 284
754 814 471
755 1176 189
756 583 398
757 215 458
758 670 3
759 474 1028
760 991 960
761 620 261
762 859 362
763 407 863
764 223 535
765 560 375
766 878 1043
767 150 87
768 152 1053
769 78 421
770 480 175
771 370 414
772 244 999
773 1103 623
774 192 149
775 154 1031
776 1194 1065
777 846 561
778 88 403
779 1055 820
780 505 301
781 881 893
782 786 1089
783 111 1139
784 154 726
785 585 771
786 140 582
787 868 370
788 84 415
789 486 725
790 488 929
791 138 426
792 31 975
793 91 404
794 467 7
795 680 147
796 803 18
797 968 607
798 619 923
799 875 1045
800 33 832
801 399 276
802 948 232
803 959 469
804 887 1023
805 1174 177
806 697 615
807 813 1075
808 1092 847
809 519 397
810 1135 1086
811 133 944
812 790 216
813 921 124
814 32 699
815 817 1162
816 37 632
817 176 263
818 414 474
819 1106 282
820 1128 270
821 701 460
822 1116 937
823 547 1136
824 870 1028
825 935 23
826 726 37
827 355 379
828 955 423
829 150 568
830 738 1135
831 818 20
832 175 1042
833 199 13
834 715 1054
835 707 1030
836 1108 275
837 474 265
838 343 1086
839 77 131
840 791 216
841 105 314
842 64 586
843 480 1072
844 89 298
845 405 615
846 1008 970
847 1170 145
848 1039 806
849 487 670
850 194 20
851 517 289
852 29 972
853 212 777
854 711 1166
855 1069 54
856 958 605
857 788 575
858 383 623
859 64 1106
860 1028 474
861 673 1018
862 323 1075
863 516 394
864 438 868
865 1193 154
866 594 1056
867 230 648
868 608 922
869 327 1117
870 71 39
871 1147 771
872 711 471
873 701 694
874 60 849
875 832 838
876 993 404
877 429 1029
878 74 53
879 166 173
880 415 265
881 100 323
882 618 615
883 187 155
884 348 54
885 1154 750
886 770 808
887 1189 493
888 41 173
889 649 543
890 77 55
891 280 1056
892 1043 1143
893 113 313
894 144 433
895 651 819
896 262 786
897 187 54
898 1014 1149
899 816 858
900 1170 343
901 697 706
902 766 584
903 141 912
904 532 1139
905 301 628
906 735 704
907 342 307
908 786 559
909 475 539
910 423 884
911 157 1052
912 1109 961
913 493 391
914 1104 846
915 108 72
916 856 467
917 457 759
918 796 811
919 294 681
920 1135 1093
921 778 807
922 268 679
923 718 1011
924 263 1173
925 150 419
926 192 13
927 320 67
928 283 827
929 815 31
930 3 538
931 31 822
932 961 6
933 128 318
934 38 846
935 696 670
936 899 913
937 1117 889
938 1 737
939 169 277
940 1189 721
941 345 77
942 1079 92
943 488 692
944 22 566
945 74 853
946 182 147
947 280 559
948 959 797
949 1196 392
950 502 395
951 626 580
952 111 51
953 518 267
954 1162 137
955 224 64
956 179 284
957 789 1165
958 781 571
959 974 995
960 554 499
961 1017 1146
962 305 82
963 966 25
964 968 469
965 1111 948
966 228 1185
967 1177 728
968 1111 283
969 524 181
970 773 351
971 329 912
972 529 685
973 955 839
974 243 208
975 862 556
976 956 264
977 491 944
978 983 608
979 1178 1021
980 769 352
981 1002 247
982 582 1038
983 812 35
984 1010 807
985 120 318
986 994 460
987 459 184
988 1 955
989 439 476
990 86 402
991 826 1091
992 259 979
993 678 1043
994 628 617
995 22 578
996 802 1168
997 162 266
998 824 19
999 332 929
1000 611 814
1001 243 738
1002 819 841
1003 855 349
1004 877 1011
1005 908 908
1006 803 1175
1007 149 421
1008 1029 1154
1009 192 173
1010 379 618
1011 708 454
1012 963 228
1013 228 78
1014 1187 1024
1015 244 224
1016 1010 492
1017 256 1187
1018 567 1172
1019 564 397
1020 727 696
1021 56 847
1022 1070 95
1023 788 345
1024 44 543
1025 1105 927
1026 965 106
1027 970 642
1028 816 428
1029 781 1062
1030 1174 506
1031 279 649
1032 12 729
1033 788 558
1034 630 150
1035 285 744
1036 797 821
1037 840 423
1038 550 488
1039 248 682
1040 724 23
1041 339 1076
1042 33 697
1043 807 495
1044 914 156
1045 110 1091
1046 164 1041
1047 826 1153
1048 460 213
1049 590 802
1050 1176 1049
1051 228 789
1052 783 476
1053 852 544
1054 421 881
1055 713 1044
1056 859 498
1057 994 234
1058 1004 459
1059 904 913
1060 716 28
1061 155 439
1062 939 639
1063 59 130
1064 690 683
1065 2 284
1066 895 921
1067 783 1072
1068 76 137
1069 239 629
1070 966 5
1071 824 17
1072 251 978
1073 186 144
1074 309 912
1075 1120 960
1076 525 686
1077 688 711
1078 146 423
1079 790 335
1080 236 668
1081 706 1030
1082 72 140
1083 557 396
1084 593 935
1085 780 817
1086 43 855
1087 352 407
1088 34 853
1089 481 300
1090 1113 934
1091 791 494
1092 83 417
1093 625 260
1094 585 376
1095 340 299
1096 597 1038
1097 314 308
1098 808 186
1099 974 645
1100 831 182
1101 297 816
1102 144 443
1103 126 1167
1104 336 1065
1105 483 1091
1106 788 569
1107 1102 930
1108 459 1089
1109 1020 1052
1110 1020 437
1111 301 105
1112 438 15
1113 816 491
1114 691 1016
1115 357 420
1116 1190 472
1117 229 59
1118 1017 1055
1119 403 257
1120 562 508
1121 860 497
1122 707 468
